ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"201-908","expanded","fitout","level 9 - zone a","riser","building b201 east","201-908"
,,"201-954","expanded","fitout","level 9 - zone a","201-954","riser","building b201 east"
,,"Level 9 - Zone A PGR","grouping","fitout","level 9 - zone a","pgr","building b201 east"
,,"201-910","expanded","fitout","level 9 - zone a","pgr","201-910","building b201 east"
,,"201-932","expanded","fitout","level 9 - zone a","pgr","201-932","building b201 east"
,,"201-931","expanded","fitout","level 9 - zone a","pgr","201-931","building b201 east"
,,"201-952","expanded","fitout","level 9 - zone a","pgr","201-952","building b201 east"
,,"Level 9 - Zone A Breakout","grouping","fitout","level 9 - zone a","breakout","building b201 east"
,,"201-934","expanded","201-934","fitout","level 9 - zone a","breakout","building b201 east"
,,"Level 9 - Zone A Room","grouping","fitout","level 9 - zone a","room","building b201 east"
,,"201-933","expanded","fitout","level 9 - zone a","room","201-933","building b201 east"
,,"201-930","expanded","fitout","level 9 - zone a","201-930","room","building b201 east"
,,"201-926","expanded","fitout","level 9 - zone a","201-926","room","building b201 east"
,,"Level 10 - Zone A Plant Room","grouping","fitout","plant room","level 10 - zone a","building b201 east"
,,"201-1000l1","expanded","fitout","201-1000l1","plant room","level 10 - zone a","building b201 east"
,,"201-1000l3","expanded","fitout","plant room","level 10 - zone a","201-1000l3","building b201 east"
,,"Level 10 - Zone A Lift","grouping","fitout","lift","level 10 - zone a","building b201 east"
,,"201-1000e1","expanded","fitout","lift","201-1000e1","level 10 - zone a","building b201 east"
,,"Level 10 - Zone A Stair","grouping","fitout","stair","level 10 - zone a","building b201 east"
,,"201-1000s7","expanded","fitout","201-1000s7","stair","level 10 - zone a","building b201 east"
,,"201-1000s8","expanded","fitout","201-1000s8","stair","level 10 - zone a","building b201 east"
,,"Level 10 - Zone A Riser","grouping","fitout","level 10 - zone a","riser","building b201 east"
,,"201-1008","expanded","fitout","level 10 - zone a","201-1008","riser","building b201 east"
,,"201-1054","expanded","fitout","level 10 - zone a","201-1054","riser","building b201 east"
,,"Level 10 - Zone A Lift Overrun","grouping","fitout","level 10 - zone a","lift overrun","building b201 east"
,,"201-1000e5","expanded","fitout","level 10 - zone a","lift overrun","201-1000e5","building b201 east"
,,"Level 11 - Zone A Lift Overrun","grouping","fitout","lift overrun","level 11 - zone a","building b201 east"
,,"201-1100e1","expanded","fitout","201-1100e1","lift overrun","level 11 - zone a","building b201 east"
,,"Level 11 - Zone A Plant Room","grouping","fitout","plant room","level 11 - zone a","building b201 east"
,,"201-1101","expanded","fitout","plant room","level 11 - zone a","building b201 east","201-1101"
,,"201-1151","expanded","fitout","201-1151","plant room","level 11 - zone a","building b201 east"
,"Columns"
,,"Wall Preline",,"wall preline","wall services preline"
,,"Interior Framing Checklist",,"interior framing checklist","wall services preline"
,,"Plumbing Walls First Fix",,"plumbing walls first fix","wall services preline"
,,"Fire Protection Walls (Alarms) First Fix",,"fire protection walls (alarms) first fix","wall services preline"
,,"Mechanical Services Wall First Fix",,"mechanical services wall first fix","wall services preline"
,,"Electrical Wall First Fix",,"electrical wall first fix","wall services preline"
,,"Data/Security Wall First Fix",,"data/security wall first fix","wall services preline"
,,"Insulation/Acoustic Checklist",,"insulation/acoustic checklist","wall services preline"
,,"Preline Inspection Checklist",,"preline inspection checklist","wall services preline"
,,"Ceiling Preline",,"ceiling preline"
,,"QA - Insulation Checklist Prior to Lining",,"ceiling preline","qa - insulation checklist prior to lining"
,,"QA - Plumbing First Fix",,"ceiling preline","qa - plumbing first fix"
,,"Fire Protection (Sprinklers & Alarms) First Fix",,"ceiling preline","fire protection (sprinklers & alarms) first fix"
,,"Mechanical Services First Fix",,"ceiling preline","mechanical services first fix"
,,"Electrical/Data/Security Fix",,"ceiling preline","electrical/data/security fix"
,,"Rondo Ceiling Grid Installation",,"ceiling preline","rondo ceiling grid installation"
,,"Preline Inspection Checklist",,"ceiling preline","preline inspection checklist"
,,"Walls Postline",,"walls postline"
,,"Ceiling Postline",,"ceiling postline"
,,"Flooring",,"flooring"
,,"Final Sign Off",,"final sign off"

"Hawkins: Atrium - Facade"
,"Scope",,
,"Rows"
,,"Atrium","grouping","building b201 atrium","envelope"
,,"Level 3",,"building b201 atrium","envelope","level 3"
,,"Level 4",,"level 4","building b201 atrium","envelope"
,,"Skylights",,"building b201 atrium","envelope","skylights"
,"Columns"
,,"South Elevation",,"south elevation"
,,"West Elevation",,"west elevation"
,,"Skylights",,"skylights"

"Hawkins: Building North - Structure"
,"Scope",,,"building b201 north","structure"
,"Rows"
,,"Level 2 - Infills","dynamic","infills","building b201 north","level 2","structure"
,,"Level 2 - Infills","dynamic","shear wall","infills","building b201 north","level 2","structure"
,,"Level 2 - Infills","dynamic","shear wall","infills","building b201 north","level 2","structure","shear wall gl l-r/4'"
,,"Level 2 - Infills","dynamic","infills","slab infills","building b201 north","level 2","structure"
,,"Level 2 - Plinths","dynamic","building b201 north","level 2","plinths","structure"
,,"Level 3 - L3 Beam GL E-F/4'-5","dynamic","l3 beam gl e-f/4'-5","building b201 north","structure","level 3"
,,"Level 3 - Infills","dynamic","infills","building b201 north","structure","level 3"
,,"Level 3 - Infills","dynamic","infills","swimming pool gl m-q/1-3","building b201 north","structure","level 3"
,,"Level 3 - Infills","dynamic","infills","spine riser","building b201 north","structure","level 3"
,,"Level 4 - GL R/6-5 Footing for Curtain Wall","dynamic","level 4","gl r/6-5 footing for curtain wall","building b201 north","structure"
,,"Level 4 - GL S/1-5 Slab extention","dynamic","level 4","building b201 north","structure","gl s/1-5 slab extention"
,,"Level 4 - Fresh Air Intake","dynamic","level 4","fresh air intake","building b201 north","structure"
,,"Level 6 - Facade Support (Plates)","dynamic","level 6","facade support (plates)","building b201 north","structure"
,,"Level 6 - Stair 6","dynamic","stair 6","level 6","building b201 north","structure"
,,"Level 7 - Baseplates","dynamic","baseplates","level 7","building b201 north","structure"
,,"Level 7 - Nibs","dynamic","level 7","building b201 north","structure","nibs"
,"Columns"
,,"Concrete Pour - Formwork and Embedded Items",,"formwork and embedded items"
,,"Concrete Pour - Reinforcing",,"reinforcing"
,,"Concrete Pre-Pour Completion (Approval to pour)",,"pre-pour completion (approval to pour)"
,,"Concrete Pour / Post-Pour Checks/Sign Off",,"pour / post-pour checks/sign off"
,,"Blockwork - Pre-Pour Checks",,"pre-pour checks"
,,"Blockwork - Pour /Post Pour",,"pour /post pour"
,,"Structural Steel - inspected on arrival, checked and correct, no significant damage",,"steel inspected on arrival, checked and correct and no significant damage"

"Hawkins: Building East - Structure"
,"Scope",,,"building b201 east","structure"
,"Rows"
,,"Level 1 - L1 GLA+/8 - 11 Slab","dynamic","level 1","structure","building b201 east","l1 gla+/8 - 11 slab"
,,"Level 1 - L1 GLA/11 Pilecap","dynamic","l1 gla/11 pilecap","level 1","structure","building b201 east"
,,"Level 1 - HV Room","dynamic","hv room","level 1","structure","building b201 east"
,,"Level 1 - Circulation Node Lift Pit","dynamic","circulation node lift pit","level 1","structure","building b201 east"
,,"Level 1 - Wynyard street Pile cap","dynamic","level 1","wynyard street pile cap","structure","building b201 east"
,,"Level 1 - Infills","dynamic","infills","level 1","structure","building b201 east"
,,"Level 1 - Circ Node Slab","dynamic","level 1","structure","circ node slab","building b201 east"
,,"Level 1 - L1 GL C-D/7-9","dynamic","level 1","structure","building b201 east","l1 gl c-d/7-9"
,,"Level 1 - Pad Footing (PF) - Types PF1a, PF1","dynamic","level 1","structure","pad footing (pf) - types pf1a, pf1","building b201 east"
,,"Level 1 - L1 Plantroom","dynamic","l1 plantroom","level 1","structure","building b201 east"
,,"Level 2 - Infills","dynamic","infills","structure","level 2","building b201 east"
,,"Level 2 - Mezzanine","dynamic","mezzanine","structure","level 2","building b201 east"
,,"Level 3 - Circ node slab","dynamic","structure","circ node slab","building b201 east","level 3"
,,"Level 3 - Infills","dynamic","infills","structure","building b201 east","level 3"
,,"Level 3 - Stair 3 - Structural Steel","dynamic","stair 3 - structural steel","structure","building b201 east","level 3"
,,"Level 4 - Circ node Slab","dynamic","level 4","structure","circ node slab","building b201 east"
,,"Level 4 - Infills","dynamic","level 4","infills","structure","building b201 east"
,,"Level 4 - Beam and slab repair GL C-D/1-2","dynamic","level 4","structure","beam and slab repair gl c-d/1-2","building b201 east"
,,"Level 5 - Infills","dynamic","level 5","infills","structure","building b201 east"
,,"Level 5 - Circ Node Slab","dynamic","level 5","structure","circ node slab","building b201 east"
,,"Level 5 - Facade Support (Plates)","dynamic","level 5","facade support (plates)","structure","building b201 east"
,,"Level 5 - Structural Steel Erection","dynamic","level 5","structural steel erection","structure","building b201 east"
,,"Level 6 - Infills","dynamic","infills","level 6","structure","building b201 east"
,,"Level 6 - Circ Node Slab","dynamic","level 6","structure","circ node slab","building b201 east"
,,"Level 6 - Facade Support (Plates)","dynamic","level 6","facade support (plates)","structure","building b201 east"
,,"Level 7 - Infills","dynamic","infills","level 7","structure","building b201 east"
,,"Level 7 - Circ Node Slab","dynamic","level 7","structure","circ node slab","building b201 east"
,,"Level 7 - Facade Support (Plates)","dynamic","level 7","facade support (plates)","structure","building b201 east"
,,"Level 8 - Circ Node Slab","dynamic","level 8","structure","circ node slab","building b201 east"
,,"Level 8 - Infills","dynamic","infills","level 8","structure","building b201 east"
,,"Level 8 - Facade Support (Plates)","dynamic","level 8","facade support (plates)","structure","building b201 east"
,,"Level 9 - Infills","dynamic","infills","level 9","structure","building b201 east"
,,"Level 9 - Circ Node Slab","dynamic","level 9","structure","circ node slab","building b201 east"
,,"Level 9 - Facade Support (Plates)","dynamic","level 9","facade support (plates)","structure","building b201 east"
,,"Level 10 - Circ Node Slab","dynamic","level 10","structure","circ node slab","building b201 east"
,,"Level 10 - Infills","dynamic","infills","level 10","structure","building b201 east"
,,"Level 10 - Facade Support (Plates)","dynamic","level 10","facade support (plates)","structure","building b201 east"
,,"Level 10 - Blockwork","dynamic","level 10","structure","blockwork","building b201 east"
,,"Level 11 - Circ Node Slab","dynamic","level 11","structure","circ node slab","building b201 east"
,,"Level 11 - Infills","dynamic","infills","level 11","structure","building b201 east"
,,"Level 11 - Facade Support (Plates)","dynamic","level 11","facade support (plates)","structure","building b201 east"
,"Columns"
,,"Concrete Pour - Formwork and Embedded Items",,"formwork and embedded items"
,,"Concrete Pour - Reinforcing",,"reinforcing"
,,"Concrete Pre-Pour Completion (Approval to pour)",,"pre-pour completion (approval to pour)"
,,"Concrete Pour / Post-Pour Checks/Sign Off",,"pour / post-pour checks/sign off"
,,"Blockwork - Pre-Pour Checks",,"pre-pour checks"
,,"Blockwork - Pour /Post Pour",,"pour /post pour"
,,"Structural Steel - inspected on arrival, checked and correct, no significant damage",,"steel inspected on arrival, checked and correct and no significant damage"

"Services/Fitout Trades: Building North Overall Progress"
,"Scope",,
,"Rows"
,,"Level 2","grouping","level 2"
,,"201-200L7 Lobby",,"201-200l7 lobby"
,,"201-200L8 Lobby",,"201-200l8 lobby"
,,"201-200L9 Lobby",,"201-200l9 lobby"
,,"201-200S6 Stair 6",,"201-200s6 stair 6"
,,"201-265 POOL TEACHING 80p",,"201-265 pool teaching 80p"
,,"201-270 Plantroom",,"201-270 plantroom"
,,"Level 3","grouping","level 3"
,,"201-300L7 Lobby",,"201-300l7 lobby"
,,"201-300S6 Stair 6",,"201-300s6 stair 6"
,,"201-360 Riser 7",,"201-360 riser 7"
,,"201-365 CALS-Small",,"201-365 cals-small"
,,"201-367 CALS-Large",,"201-367 cals-large"
,,"201-370 Breakout",,"201-370 breakout"
,,"201-375 CALS-Large",,"201-375 cals-large"
,,"201-377 Virtual Learning",,"201-377 virtual learning"
,,"201-378 Riser 9",,"201-378 riser 9"
,,"201-390 Comms",,"201-390 comms"
,,"Level 4","grouping","level 4"
,,"201-400L6 Lobby",,"201-400l6 lobby"
,,"201-400L7 Lobby",,"201-400l7 lobby"
,,"201-460 Riser 7",,"201-460 riser 7"
,,"201-463 Materials Workshop",,"201-463 materials workshop"
,,"201-478 Riser 9",,"201-478 riser 9"
,,"201-479 Food Tech",,"201-479 food tech"
,,"201-479B ST",,"201-479b st"
,,"201-496B Riser 8",,"201-496b riser 8"
,,"201-467 Store",,"201-467 store"
,,"201-473A Rubbish Store",,"201-473a rubbish store"
,,"201-473C Dry Store",,"201-473c dry store"
,,"201-473D Cool Store",,"201-473d cool store"
,,"201-475 Store",,"201-475 store"
,,"201-400C10 CIRCULATION",,"201-400c10 circulation"
,,"201-400C11 CIRCULATION",,"201-400c11 circulation"
,,"201-465 Visual Arts & Technology Teaching",,"201-465 visual arts & technology teaching"
,,"201-471 SCI HUB",,"201-471 sci hub"
,,"201-471A Dry Prep",,"201-471a dry prep"
,,"201-471B Wet Prep",,"201-471b wet prep"
,,"201-473 Café BOH",,"201-473 café boh"
,,"201-473B Office",,"201-473b office"
,,"201-477 Technology Teaching",,"201-477 technology teaching"
,,"201-479A W/M",,"201-479a w/m"
,,"201-479C Pantry",,"201-479c pantry"
,,"201-490 DB",,"201-490 db"
,,"201-490A COMMS",,"201-490a comms"
,,"201-496A AV C/BD",,"201-496a av c/bd"
,,"Level 5","grouping","level 5"
,,"201-500C9 Circulation",,"201-500c9 circulation"
,,"201-500L4 Lobby",,"201-500l4 lobby"
,,"201-500L5 Lobby",,"201-500l5 lobby"
,,"201-580 Print",,"201-580 print"
,,"201-598 Waiting",,"201-598 waiting"
,,"201-593 Consult",,"201-593 consult"
,,"201-594 LRG Consult",,"201-594 lrg consult"
,,"201-595 Consult",,"201-595 consult"
,,"201-596 LRG Consult",,"201-596 lrg consult"
,,"201-597 Consult",,"201-597 consult"
,,"201-599 Consult",,"201-599 consult"
,,"201-562 Office",,"201-562 office"
,,"201-564 Office",,"201-564 office"
,,"201-566 Office",,"201-566 office"
,,"201-569 Office",,"201-569 office"
,,"201-570 Office",,"201-570 office"
,,"201-571 Office",,"201-571 office"
,,"201-572 Office",,"201-572 office"
,,"201-573 Office",,"201-573 office"
,,"201-574 Office",,"201-574 office"
,,"201-575 Office",,"201-575 office"
,,"201-576 Office",,"201-576 office"
,,"201-577 Office",,"201-577 office"
,,"201-586 Office",,"201-586 office"
,,"201-500C10 Circulation",,"201-500c10 circulation"
,,"201-500C8 Circulation",,"201-500c8 circulation"
,,"201-500S6 Stair 6",,"201-500s6 stair 6"
,,"201-560 Riser 7",,"201-560 riser 7"
,,"201-568 Breakout",,"201-568 breakout"
,,"201-568A Riser 8",,"201-568a riser 8"
,,"201-578 Riser 9",,"201-578 riser 9"
,,"201-581 Store",,"201-581 store"
,,"201-582 One Button",,"201-582 one button"
,,"201-584 PGR",,"201-584 pgr"
,,"201-588 SOP",,"201-588 sop"
,,"201-590 DB",,"201-590 db"
,,"201-590A Comms",,"201-590a comms"
,,"201-591 Store",,"201-591 store"
,,"201-592 Control Room",,"201-592 control room"
,,"Level 6","grouping","level 6"
,,"201-600L4 Lobby",,"201-600l4 lobby"
,,"201-600L5 Lobby",,"201-600l5 lobby"
,,"201-600S5 Stair 5",,"201-600s5 stair 5"
,,"201-600S6 Stair 6",,"201-600s6 stair 6"
,,"201-660 Riser 7",,"201-660 riser 7"
,,"201-666A Riser 8",,"201-666a riser 8"
,,"201-678 Riser",,"201-678 riser"
,,"201-661 ARCHAEOLOGY TEACHING LAB",,"201-661 archaeology teaching lab"
,,"201-662 Spatial Lab",,"201-662 spatial lab"
,,"201-667 ARCHAEOLOGY PROCESS LAB (DIRTY)",,"201-667 archaeology process lab (dirty)"
,,"201-671 Research Lab (Clean)",,"201-671 research lab (clean)"
,,"201-672 Microscopy Lab",,"201-672 microscopy lab"
,,"201-677 Zoo Archeaology Lab",,"201-677 zoo archeaology lab"
,,"201-679 Molecular PCI Lab",,"201-679 molecular pci lab"
,,"201-600C8 Circulation",,"201-600c8 circulation"
,,"201-664 Scanner Studio",,"201-664 scanner studio"
,,"201-666 PHOTOGRAPHY Studio",,"201-666 photography studio"
,,"201-667A Store",,"201-667a store"
,,"201-668 FIELD STORE",,"201-668 field store"
,,"201-670 Artefact Store",,"201-670 artefact store"
,,"201-674 Freezers",,"201-674 freezers"
,,"201-676 XRF",,"201-676 xrf"
,,"201-690 DB",,"201-690 db"
,,"201-690A Comms",,"201-690a comms"
,,"Level 7","grouping","level 7"
,,"201-700L4 Lobby",,"201-700l4 lobby"
,,"201-700L5 Lobby",,"201-700l5 lobby"
,,"201-765 Lobby",,"201-765 lobby"
,,"201-765B Lobby",,"201-765b lobby"
,,"201-700C8 Circulation",,"201-700c8 circulation"
,,"201-760 Riser 7",,"201-760 riser 7"
,,"201-761 MDLS",,"201-761 mdls"
,,"201-762 Plantroom",,"201-762 plantroom"
,,"201-778 Riser 9",,"201-778 riser 9"
,,"Riser 8 Riser 8",,"riser 8 riser 8"
,,"201-765 AAPM Support Lab",,"201-765 aapm support lab"
,,"201-765C ANCIENT PM PC1 Lab",,"201-765c ancient pm pc1 lab"
,,"201-767 SARLAC Lab",,"201-767 sarlac lab"
,,"201-771 HUMAN OSTEOLOGY",,"201-771 human osteology"
,,"201-773 Biocultural Research Lab",,"201-773 biocultural research lab"
,,"201-779 Biocultural Research Lab",,"201-779 biocultural research lab"
,,"201-700S6 Store",,"201-700s6 store"
,,"201-771A Store",,"201-771a store"
,,"201-790 DB",,"201-790 db"
,,"201-790A Comms",,"201-790a comms"
,,"Level 8","grouping","level 8"
,,"201-862 Plant",,"201-862 plant"
,,"201-862A Plant",,"201-862a plant"
,,"201-862B Smoke Extract",,"201-862b smoke extract"
,,"201-862C Plant",,"201-862c plant"
,,"201-Riser 8",,"201-riser 8"
,"Columns"
,,"Aotea - Overall Progress",,"aotea b201"
,,"Hanlon - Overall Progress",,"hanlon auckland uni - b201"
,,"Caldwell Levesque - Overall Progress",,"caldwell - b201"
,,"Argus - Overall Progress",,"argus auckland uni - b201"
,,"Rokane - Aluminium Partitions",,"rokane b201","aluminium partitions"
,,"Rokane - Autex Installation",,"autex installation","rokane b201"
,,"Rokane - Screw Fix Ceilings",,"rokane b201","screw fix ceilings"
,,"Rokane - Suspended 2-way Ceiling",,"rokane b201","suspended 2-way ceiling"

"Services/Fitout Trades: Building East Overall Progress"
,"Scope",,
,"Rows"
,,"Level 1 - Zone A","grouping","level 1 - zone a"
,,"201-111 Breakout 1",,"201-111 breakout 1"
,,"201-113 Breakout 2",,"201-113 breakout 2"
,,"201-140 BREAKOUT",,"201-140 breakout"
,,"201-123 Breakout 2",,"201-123 breakout 2"
,,"201-120 Studio",,"201-120 studio"
,,"201-121 EDSW STUDIO",,"201-121 edsw studio"
,,"201-122 EDSW PERFORMING ARTS",,"201-122 edsw performing arts"
,,"201-130 CAI DANCE STUDIO 1",,"201-130 cai dance studio 1"
,,"201-132 CAI DANCE STUDIO 2",,"201-132 cai dance studio 2"
,,"201-140A POSTGRADUATE PRACTICE STUDIO",,"201-140a postgraduate practice studio"
,,"201-140B POSTGRADUATE",,"201-140b postgraduate"
,,"201-124 COMMS",,"201-124 comms"
,,"201-112A Store",,"201-112a store"
,,"201-120A Store",,"201-120a store"
,,"201-120B Store",,"201-120b store"
,,"201-122A Store",,"201-122a store"
,,"201-140D Store",,"201-140d store"
,,"201-161 Store",,"201-161 store"
,,"201-191 Bike Store",,"201-191 bike store"
,,"201-100C1 Circulation",,"201-100c1 circulation"
,,"201-100C2 Circulation",,"201-100c2 circulation"
,,"201-100C3 Circulation",,"201-100c3 circulation"
,,"201-100C4 Circulation",,"201-100c4 circulation"
,,"201-100 L2 Lobby",,"201-100 l2 lobby"
,,"201-100E1 Lift 1",,"201-100e1 lift 1"
,,"201-100L3 Lift Lobby",,"201-100l3 lift lobby"
,,"201-100L4 Lift Lobby",,"201-100l4 lift lobby"
,,"201-100L5 Wind Lobby",,"201-100l5 wind lobby"
,,"201-100L6 Lift Lobby",,"201-100l6 lift lobby"
,,"201-100S3 Stair",,"201-100s3 stair"
,,"201-100S4 Stairs",,"201-100s4 stairs"
,,"201-100S5 Stair 5",,"201-100s5 stair 5"
,,"201-101 End of Trip",,"201-101 end of trip"
,,"201-101A Drying",,"201-101a drying"
,,"201-101B ACC",,"201-101b acc"
,,"201-107 DB",,"201-107 db"
,,"201-109 Refuse and Recycling",,"201-109 refuse and recycling"
,,"201-112 MECO/Black Box",,"201-112 meco/black box"
,,"201-133 CLNR",,"201-133 clnr"
,,"201-134 Services",,"201-134 services"
,,"201-140C Kitchen",,"201-140c kitchen"
,,"201-153 DB",,"201-153 db"
,,"201-155 ACC",,"201-155 acc"
,,"201-156 GN",,"201-156 gn"
,,"201-157 Male",,"201-157 male"
,,"201-158 Female",,"201-158 female"
,,"201-159 Service Access",,"201-159 service access"
,,"201-192 PLANTROOM",,"201-192 plantroom"
,,"201-192A HV SWITCHROOM",,"201-192a hv switchroom"
,,"201-192B Transformer Room",,"201-192b transformer room"
,,"201-101C SHWR",,"201-101c shwr"
,,"201-101E SHWR",,"201-101e shwr"
,,"201-101G SHWR",,"201-101g shwr"
,,"201-101J SHWR",,"201-101j shwr"
,,"201-101D GN",,"201-101d gn"
,,"201-101F GN",,"201-101f gn"
,,"201-101H GN",,"201-101h gn"
,,"201-101K GN",,"201-101k gn"
,,"201-190 Fire Pump Room",,"201-190 fire pump room"
,,"Level 2 - Zone A","grouping","level 2 - zone a"
,,"201-200S3 Stair 3",,"201-200s3 stair 3"
,,"201-200S4 Stair 4",,"201-200s4 stair 4"
,,"201-200S5 Stair 5",,"201-200s5 stair 5"
,,"201-200C1 CIRCULATION",,"201-200c1 circulation"
,,"201-200C2 Circulation",,"201-200c2 circulation"
,,"201-200C3 Circulation",,"201-200c3 circulation"
,,"201-200C4 CIRCULATION",,"201-200c4 circulation"
,,"201-200C5 Circulation",,"201-200c5 circulation"
,,"201-200C6 Circulation",,"201-200c6 circulation"
,,"201-206 CLNR",,"201-206 clnr"
,,"201-205 CLNR",,"201-205 clnr"
,,"201-200L3 Lift Lobby",,"201-200l3 lift lobby"
,,"201-200L4 Lift Lobby",,"201-200l4 lift lobby"
,,"201-200L5 Lift Lobby",,"201-200l5 lift lobby"
,,"201-201 Rehearsal Studio",,"201-201 rehearsal studio"
,,"201-120 Studio",,"201-120 studio"
,,"201-122 EDSW PERFORMING ARTS",,"201-122 edsw performing arts"
,,"201-130 CAI DANCE STUDIO 1",,"201-130 cai dance studio 1"
,,"201-132 CAI DANCE STUDIO 2",,"201-132 cai dance studio 2"
,,"201-200E1 Lift 1",,"201-200e1 lift 1"
,,"201-200E2 Lift 2",,"201-200e2 lift 2"
,,"201-200E3 Lift 3",,"201-200e3 lift 3"
,,"201-200E4 Lift 4",,"201-200e4 lift 4"
,,"201-200E5 Lift 5",,"201-200e5 lift 5"
,,"201-112 MECO/Blackbox",,"201-112 meco/blackbox"
,,"201-200L6 Lobby",,"201-200l6 lobby"
,,"201-207 Services",,"201-207 services"
,,"201-207-A DB",,"201-207-a db"
,,"201-211 Room 1",,"201-211 room 1"
,,"201-213 Room 2",,"201-213 room 2"
,,"201-215 Room 3",,"201-215 room 3"
,,"201-220 Print",,"201-220 print"
,,"201-233 Meeting",,"201-233 meeting"
,,"201-240D Print",,"201-240d print"
,,"201-214 Store",,"201-214 store"
,,"201-216 Recording",,"201-216 recording"
,,"201-217 Breakout",,"201-217 breakout"
,,"201-217A Kitchen",,"201-217a kitchen"
,,"201-218 Breakout",,"201-218 breakout"
,,"201-222 Store",,"201-222 store"
,,"201-224 Comms",,"201-224 comms"
,,"201-231 Breakout",,"201-231 breakout"
,,"201-240 PGR",,"201-240 pgr"
,,"201-240A Office",,"201-240a office"
,,"201-240B Office",,"201-240b office"
,,"201-240C Office",,"201-240c office"
,,"201-240E Office",,"201-240e office"
,,"201-240F Office",,"201-240f office"
,,"201-240G Office",,"201-240g office"
,,"201-240H Office",,"201-240h office"
,,"201-240J Office",,"201-240j office"
,,"201-240K Office",,"201-240k office"
,,"201-240L Office",,"201-240l office"
,,"201-250 Riser 5",,"201-250 riser 5"
,,"201-253 DB",,"201-253 db"
,,"201-255 ACC",,"201-255 acc"
,,"201-257 Male",,"201-257 male"
,,"201-258 Female",,"201-258 female"
,,"201-259 Service Access",,"201-259 service access"
,,"Ramp 3 Ramp 3",,"ramp 3 ramp 3"
,,"Level 2 - Zone B","grouping","level 2 - zone b"
,,"201-200E6 Lift 6",,"201-200e6 lift 6"
,,"201-200S2 Stair 2",,"201-200s2 stair 2"
,,"201-293 Lecture Theater",,"201-293 lecture theater"
,,"201-293B Store Room",,"201-293b store room"
,,"201-295 MSB Room",,"201-295 msb room"
,,"201-296A BOH",,"201-296a boh"
,,"201-297 Water Tank",,"201-297 water tank"
,,"201-297A Riser 8",,"201-297a riser 8"
,,"Level 3 - Zone A","grouping","level 3 - zone a"
,,"201-300L3 Lift Lobby",,"201-300l3 lift lobby"
,,"201-300L4 Lift Lobby",,"201-300l4 lift lobby"
,,"201-300L5 Lift Lobby",,"201-300l5 lift lobby"
,,"201-300S3 Stair 3",,"201-300s3 stair 3"
,,"201-300S4 Stair 4",,"201-300s4 stair 4"
,,"201-300S5 Stair 5",,"201-300s5 stair 5"
,,"201-301 SHWR",,"201-301 shwr"
,,"201-302 ACC",,"201-302 acc"
,,"201-303 Female",,"201-303 female"
,,"201-304 CLNR",,"201-304 clnr"
,,"201-305 Service Access",,"201-305 service access"
,,"201-306 Male",,"201-306 male"
,,"201-355 ACC",,"201-355 acc"
,,"201-357 Male",,"201-357 male"
,,"201-358 Female",,"201-358 female"
,,"201-300E1 Lift 1",,"201-300e1 lift 1"
,,"201-300E2 Lift 2",,"201-300e2 lift 2"
,,"201-300E3 Lift 3",,"201-300e3 lift 3"
,,"201-300E4 Lift 4",,"201-300e4 lift 4"
,,"201-300E5 Lift 5",,"201-300e5 lift 5"
,,"? Riser 4",,"? riser 4"
,,"201-308 Riser 3",,"201-308 riser 3"
,,"201-311A Riser 2",,"201-311a riser 2"
,,"201-342A Riser 5",,"201-342a riser 5"
,,"201-354 Riser 6",,"201-354 riser 6"
,,"201-307 DB",,"201-307 db"
,,"201-310 Cleaners",,"201-310 cleaners"
,,"201-312 Breakout",,"201-312 breakout"
,,"201-321 Breakout",,"201-321 breakout"
,,"201-325 Breakout",,"201-325 breakout"
,,"201-327 Breakout",,"201-327 breakout"
,,"201-328 Breakout",,"201-328 breakout"
,,"201-329 Breakout",,"201-329 breakout"
,,"201-333 Breakout",,"201-333 breakout"
,,"201-335 Breakout",,"201-335 breakout"
,,"201-337 Breakout",,"201-337 breakout"
,,"201-339 Breakout",,"201-339 breakout"
,,"201-311 Pool Teaching 74p",,"201-311 pool teaching 74p"
,,"201-317 Pool Teaching 42p",,"201-317 pool teaching 42p"
,,"201-326 Pool Teaching 48p",,"201-326 pool teaching 48p"
,,"201-334 Pool Teaching 48p",,"201-334 pool teaching 48p"
,,"201-341 Pool Teaching 42p",,"201-341 pool teaching 42p"
,,"201-342 Pool Teaching 76p",,"201-342 pool teaching 76p"
,,"201-320 PC COMPUTER LAB",,"201-320 pc computer lab"
,,"201-330 MAC COMPUTER LAB",,"201-330 mac computer lab"
,,"201-300C10 Circulation",,"201-300c10 circulation"
,,"201-300C6 Circulation",,"201-300c6 circulation"
,,"201-300C7 Circulation",,"201-300c7 circulation"
,,"201-300C8 Circulation",,"201-300c8 circulation"
,,"201-300C9 Circulation",,"201-300c9 circulation"
,,"201-324 Comms",,"201-324 comms"
,,"201-330A Server",,"201-330a server"
,,"201-353 DB",,"201-353 db"
,,"201-359 Service Access",,"201-359 service access"
,,"Ramp 4 Ramp 4 (Existing)",,"ramp 4 ramp 4 (existing)"
,,"Level 3 - Zone B","grouping","level 3 - zone b"
