"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b5f4cc2-7ea9-4081-86f1-b0fbe0af3cbb","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.01.16 (Backing Rubber Replacement)"
"93420b26-c327-4cbc-9ee9-76295e8a4db9","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.02.18"
"2066fb2c-f4b9-4f42-9e60-999b5cb75ada","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.03.2"
"bd46b403-9c86-40a6-b16d-ef2ce56bc69b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.04.20"
"9cfdce80-03c4-417c-b07e-ffdf1983d9c2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.05.17"
"825ee73c-bd5b-47fa-9236-404048712ac7","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.05.17 (Backing Rubber Replacement)"
"265bcc6f-5a04-48c3-84bc-4e3350036889","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.06.11"
"45e9a0fb-7ef7-4858-9a19-4c226a615340","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.19.8"
"6271e7c0-3ac6-46d7-8598-93477aa38232","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.19.8 (Backing Rubber Replacement)"
"e61a7a3d-2b46-4719-9419-e60924f41558","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.20.25"
"df48d28f-58ef-4535-a70e-3e63c019bbb8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.21.16"
"abdbd581-9051-48cd-b1ca-834ec9ec47bc","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.21.16 (Backing Rubber Replacement)"
"85843604-b8a1-40a4-acec-58ca3f35fedf","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.22.17"
"b882edce-790f-4e47-a808-2a5aa2c1f115","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.22.17 (Backing Rubber Replacement)"
"4318dabd-98f9-48b9-992b-8616d6fd2ed7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.23.23"
"5a4ef7a9-33b1-4c5f-baa7-aa709f1a4240","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.24.17"
"1b3a368b-cf14-4031-95c0-ea2b402d72ef","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","West Tower","W.05.24.17 (Backing Rubber Replacement)"
"0b93384e-e855-4c20-93dd-326a5c6a91fb","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","East Tower"
"64015f97-239d-486e-b425-5baba47f3b4b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.07.12"
"185d922c-3fac-4de0-ad1f-0044edf6c0c3","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.08.13"
"6de56f18-8c61-4184-b662-3bea8eb0a24c","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","East Tower","W.05.08.13 (Backing Rubber Replacement)"
"e97a8aba-584d-4529-b890-0a2f75317fba","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.09.14"
"977b3e2e-6cbf-4d6a-b653-0f12c35717ae","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.10.2"
"e47fdbf1-c0e4-4844-89e1-20f56d8a6ffe","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.11.19"
"cc0fdbf6-511c-4890-98b0-39d9fc85af38","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.12.17"
"4916839e-a88f-4b02-9107-1e5bb87b2aaf","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","East Tower","W.05.12.17 (Backing Rubber Replacement)"
"fd2f24fd-0cd8-4ae6-88db-0fe4ea2eadc2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.14.16"
"71455277-2c6b-4a48-99e4-1d409bc782c2","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","East Tower","W.05.14.16 (Backing Rubber Replacement)"
"6994fcc4-7582-44d8-8a1a-5247ee1612fa","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.15.22"
"9f8467d5-cc6a-443e-b833-9c64bd21892f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.16.16"
"e3bf0efa-1031-4079-9664-db5e038831c1","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 05","East Tower","W.05.16.16 (Backing Rubber Replacement)"
"82122217-95cb-43b9-9fa8-c6ca09289b53","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.17.17"
