Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,TW Trade Waste Stack (Risers),,tw trade waste stack (risers),,
,,SW Syphonic Down Pipe (Risers),,sw syphonic down pipe (risers),,
,,SD Sewer Waste (Underslung),,sd sewer waste (underslung),,
,,SD Pump Station Rising Main,,sd pump station rising main,,
,,SW Pump Station Rising Main,,sw pump station rising main,,
,,TW Suction Line,,tw suction line,,
,,,,,,
Aspire Tower (Hickory) - Pressure Hydraulics (Mains),,,,,,
,Scope,,,,,
,Rows,,,,,
,,Basement 3,,basement 3,zone 1,pressure hydraulics (mains)
,,Basement 2,,basement 2,zone 1,pressure hydraulics (mains)
,,Basement 1,,basement 1,zone 1,pressure hydraulics (mains)
,,Ground Level,,ground level,zone 1,pressure hydraulics (mains)
,,Mezzanine Level,,mezzanine level,zone 1,pressure hydraulics (mains)
,,Level 1,,level 1,zone 1,pressure hydraulics (mains)
,,Level 2,,level 2,zone 1,pressure hydraulics (mains)
,,Level 3,,level 3,zone 1,pressure hydraulics (mains)
,,Level 4,,level 4,zone 1,pressure hydraulics (mains)
,,Level 5,,level 5,zone 1,pressure hydraulics (mains)
,,Level 6,,level 6,zone 1,pressure hydraulics (mains)
,,Level 7,,level 7,zone 1,pressure hydraulics (mains)
,,Level 8,,level 8,zone 1,pressure hydraulics (mains)
,,Level 9,,level 9,zone 1,pressure hydraulics (mains)
,,Level 10,,level 10,zone 1,pressure hydraulics (mains)
,,Level 11,,level 11,zone 1,pressure hydraulics (mains)
,,Level 12,,level 12,zone 1,pressure hydraulics (mains)
,,Level 13,,level 13,zone 1,pressure hydraulics (mains)
,,Level 14,,level 14,zone 1,pressure hydraulics (mains)
,,Level 15,,level 15,zone 1,pressure hydraulics (mains)
,,Level 16,,level 16,zone 1,pressure hydraulics (mains)
,,Level 17,,level 17,zone 1,pressure hydraulics (mains)
,,Level 18,,level 18,zone 1,pressure hydraulics (mains)
,,Level 19,,level 19,zone 1,pressure hydraulics (mains)
,,Level 20,,level 20,zone 1,pressure hydraulics (mains)
,,Level 21,,level 21,zone 1,pressure hydraulics (mains)
,,Level 22,,level 22,zone 1,pressure hydraulics (mains)
,,Level 23,,level 23,zone 1,pressure hydraulics (mains)
,,Level 24,,level 24,zone 1,pressure hydraulics (mains)
,,Level 25,,level 25,zone 1,pressure hydraulics (mains)
,,Level 26,,level 26,zone 1,pressure hydraulics (mains)
,,Level 27,,level 27,zone 1,pressure hydraulics (mains)
,,Level 28,,level 28,zone 1,pressure hydraulics (mains)
,,Level 29,,level 29,zone 1,pressure hydraulics (mains)
,,Level 30,,level 30,zone 1,pressure hydraulics (mains)
,,Level 31,,level 31,zone 1,pressure hydraulics (mains)
,,Level 32,,level 32,zone 1,pressure hydraulics (mains)
,,Level 33,,level 33,zone 1,pressure hydraulics (mains)
,,Level 34,,level 34,zone 1,pressure hydraulics (mains)
,,Level 35,,level 35,zone 1,pressure hydraulics (mains)
,,Level 36,,level 36,zone 1,pressure hydraulics (mains)
,,Level 37,,level 37,zone 1,pressure hydraulics (mains)
