"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7fb25e24-eccd-40ea-870c-5da999c8e12a","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Neil"
"697d0089-32cb-4062-a3b7-010e884eb9bf","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Paul M"
"a04a6aa8-fca2-47e0-8e4e-65124f7e64e2","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Rosco"
"ffd7182e-b8a4-49f5-baf0-e4dc850755d4","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Scottie"
"3a036ce2-9020-4eb6-951d-f4cfbcc8eae1","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Simon"
"3e6c31b5-514d-42ee-9494-290c964df215","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Shawy"
"4a94a97e-6fcd-4cb6-9e4b-1b11d24fc51f","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Tom W"
"164951fe-a5ca-4c32-800b-338deb195a29","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Slamma"
"d6fab13e-15e0-4183-a13c-c78dc9e13eed","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Trev B"
"cf89e6df-ca78-498c-89d7-6c460c030551","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Tom Waller"
