"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c20a8839-0f65-4669-81c8-e9e84d6cfb31","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.09.14"
"a03510a1-8dd5-455f-9a28-94924baa266a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.10.2"
"0bcf95b3-5cfd-4177-a823-53ff654534e2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.11.19"
"d1b40956-af31-4ee0-9f8f-491e3634c828","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.12.17"
"710f041c-38d4-4820-901c-ecde24f2b256","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.14.16"
"fde51bfe-3551-4f3a-aa04-2f5d6ab36661","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.15.22"
"1e434910-e26c-4b31-893f-ede913e39da1","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.16.16"
"2e80dd6a-aa7a-4df9-a6c7-979c3b1b18cc","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.17.17"
"1ba4f4be-4385-4671-a90e-643092261d31","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.18.15"
"f821ca48-cd76-47d3-929c-f95929197ea5","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","CW West Tower"
"faf45ca8-723e-43ef-89b5-f0a8be4aef81","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","CW West Tower","W.05.25.33A"
"cde866eb-4a54-4e74-8f32-4de9c3e4d6ec","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","CW East Tower"
"3c6ab031-f09c-43a8-aaa1-5e9ab9dc01bd","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","CW East Tower","W.05.13.31A"
"37908da2-48ec-4cc8-868c-568f46e76738","","folder-normal","not-started","","step","TRUE","FALSE","Level 06"
"3210e306-7726-4e32-a232-c7160a57f77e","","folder-normal","not-started","","step","TRUE","FALSE","Level 06","West Tower"
"d452a5eb-725f-4109-851e-e06a56af321f","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.01.16"
"e9301faa-57a0-4d41-b682-8753c9a401e4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.02.18"
"63f343af-742b-40d8-9c8e-64f490968567","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.03.2"
"44a3aa23-4cee-415a-9393-a0a26f153efb","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.04.20"
"6c1052ce-4957-4205-be32-9f59b04d5d97","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.05.17"
"1951f458-2a1d-4262-a0dd-aa621b3e67ce","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.20.25"
"3c6f2b16-4c34-4918-81d0-3297d09b9e21","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.21.16"
"085e94c3-c822-416b-8df3-a74ceb9cad44","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.22.17"
"82586c53-5e74-45fb-ad82-1e45e4fbccb8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.23.23"
"0cf13308-7c1c-4fc1-83b3-71e824a89ece","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","West Tower","W.06.24.17"
"703244bb-25a3-45ce-ab24-18fecd9d929c","","folder-normal","not-started","","step","TRUE","FALSE","Level 06","East Tower"
"6ee18693-64ca-4977-8ee0-72c16487f185","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.08.16"
"b44b45cd-b576-4961-9665-89b1321ec10b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.09.21"
"52e8683c-7ad0-452f-822e-b67bc0a4f212","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.10.2"
"955f10dd-6b13-4876-8f74-56f78f9dcf45","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.11.19"
"76615257-c34c-4197-8557-a8f44e6f1ee5","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.12.17"
"e1375fca-ec56-4141-bb74-0d9680408d00","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.14.16"
"17ef0dab-3441-409c-a2bd-c24c391c09c3","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.15.22"
"c8cfe92a-ccc4-4b11-9d38-57cfaa0daac4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.16.16"
"88715126-584a-4775-b891-e352c7e125ef","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.17.17"
"94bd1589-be8a-4b9c-8a73-8acd6bbeb40e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","East Tower","W.06.18.24"
"89d7dd56-c248-4254-bba7-7bb05aa8204f","","folder-normal","not-started","","step","TRUE","FALSE","Level 06","CW West Tower"
"ad3f1f81-9566-4707-8588-cfb3387736f2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","CW West Tower","W.06.06.34"
"51c681b2-4f10-4b82-9459-2a898364bbf2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","CW West Tower","W.06.25.33A"
"ab07d125-1c4c-4f41-8c8f-fdb1a581f9f1","","folder-normal","not-started","","step","TRUE","FALSE","Level 06","CW East Tower"
"be2e5ebf-3aac-4161-a76e-a2be02f060c2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 06","CW East Tower","W.06.07.32"
